,Title,Genre,Duration,Rating,voting
159,Mayan,fantasy,1h 53m,8.7, 140
160,Devil's Knight,fantasy,1h 30m,4.7, 1.1K
161,Nonostante,fantasy,1h 33m,6.0, 450
162,Malaikottai Vaaliban,fantasy,2h 36m,5.9, 4.3K
163,Joachim and the Apocalypse,fantasy,1h 30m,5.5, 62
164,King Baby,fantasy,1h 28m,7.0, 32
165,Nyctophobia,fantasy,1h 30m,6.3, 1.9K
166,"Maya, Give Me a Title",fantasy,1h 1m,6.4, 116
167,Into the Mortal World,fantasy,1h 58m,7.0, 304
168,The Yin Yang Master Zero,fantasy,1h 52m,5.7, 342
169,Gaami,fantasy,2h 27m,6.3, 2.1K
170,Niko: Beyond the Northern Lights,fantasy,1h 26m,6.1, 495
171,Dalia and the Red Book,fantasy,1h 47m,5.8, 250
172,Dragon Ball Z Kai,fantasy,1h 22m,8.4, 140
173,Dongeng Sang Kancil,fantasy,1h 39m,6.8, 271
174,The Opera! Arie per un'eclissi,fantasy,1h 46m,6.1, 173
175,Schneewittchen,fantasy,1h 10m,5.1, 18
176,Rita,fantasy,1h 47m,5.8, 334
177,The Gesuidouz,fantasy,1h 33m,6.8, 114
178,We Work for the Dead,fantasy,1h 24m,4.3, 549
179,The Jester from Transylvania,fantasy,1h 42m,4.8, 49
180,Princess Halle and the Jester,fantasy,1h 11m,4.5, 83
181,Last Song for You,fantasy,1h 46m,6.5, 227
182,Barroz: Guardian of Treasures,fantasy,2h 35m,3.4, 1.1K
183,Rendel: Cycle of Revenge,fantasy,1h 39m,3.6, 297
184,Intercambiadas,fantasy,1h 37m,5.7, 91
185,Gypsy Moon,fantasy,1h 20m,3.3, 85
186,Chhota Bheem and the Curse of Damyaan,fantasy,2h 25m,4.7, 2.3K
187,Oz,fantasy,1h 38m,3.4, 26
188,Little Brownie Kuzya,fantasy,1h 30m,5.4, 952
189,The Fisherman,fantasy,1h 48m,7.6, 83
190,Schirkoa: In Lies We Trust,fantasy,1h 43m,5.5, 253
191,Hakkenden,fantasy,2h 29m,5.7, 133
192,Ooru Peru Bhairavakona,fantasy,2h 13m,5.7, 1.8K
193,Universal Groove,fantasy,1h 14m,5.5, 176
194,Wicked Season,fantasy,1h 25m,4.2, 92
195,Olivia & the Clouds,fantasy,1h 21m,7.0, 94
196,Maxxie LaWow: Drag Super-shero,fantasy,1h 54m,7.2, 351
197,Dr. Sander's Sleep Cure,fantasy,1h 42m,6.2, 1.3K
198,Ba,fantasy,1h 19m,5.5, 197
199,The Epidemic,fantasy,1h 35m,5.9, 72
200,Una ballena,fantasy,1h 48m,5.4, 272
201,¿Quién es quién?,fantasy,1h 35m,5.3, 309
202,Enchanting Christmas,fantasy,1h 31m,6.2, 463
203,God with Three Eyes,fantasy,1h 52m,5.5, 63
204,SuperClaus,fantasy,1h 28m,4.3, 270
205,Dead Dead Demon's Dededede Destruction Koushou,fantasy,2h,7.0, 163
206,Bremenskie muzykanty,fantasy,1h 55m,4.3, 882
207,Spirit World,fantasy,1h 34m,5.5, 121
208,Planet 7693,fantasy,1h 50m,7.4, 96
209,Vincent,fantasy,1h 32m,5.6, 750
210,Silent Storms,fantasy,1h 24m,5.2, 61
211,Princesa Adormecida,fantasy,1h 20m,4.0, 217
212,Saint Young Men: Holy Men vs Demon Army,fantasy,1h 33m,3.7, 55
213,The Phantom Warrior,fantasy,1h 59m,2.3, 586
214,Soul Reaper,fantasy,1h 52m,5.6, 389
215,Dank Frank,fantasy,1h 23m,N/A,N/A
216,Sureshinteyum Sumalathayudeyum Hridayahariyaya Pranayakatha,fantasy,2h 18m,6.0, 90
217,Heartsping : Teenieping of Love,fantasy,TV-Y,8.0, 59
218,Fureru,fantasy,1h 47m,6.2, 149
219,The Formula for Water,fantasy,1h 26m,4.1, 55
220,Dream Thief,fantasy,N/A,N/A,N/A
221,A Trip Elsewhere,fantasy,1h 33m,4.5, 199
222,Avaidh,fantasy,2h 44m,9.1, 35
223,UmroAyyar - A New Beginning,fantasy,2h 15m,6.9, 703
224,Norbert,fantasy,1h 15m,6.3, 36
225,Mother Maker Lover Taker,fantasy,1h 39m,4.6, 112
226,Bodegón con fantasmas,fantasy,1h 28m,6.5, 376
227,Noaptea lui Vlad,fantasy,1h 30m,6.9, 97
228,A Song from the Dark,fantasy,1h 45m,4.9, 2.2K
229,"Hemet, or the Landlady Don't Drink Tea",fantasy,1h 29m,4.3, 120
230,The Storm,fantasy,1h 42m,6.0, 160
231,"Don't Cry, Butterfly",fantasy,1h 37m,6.4, 150
232,The Supernatural Sweet Shop: The Movie,fantasy,1h 43m,6.6, 67
233,Monster,fantasy,1h 15m,9.7, 134
234,The Slave and the Sorcerer,fantasy,1h 26m,6.5, 56
235,Ella,fantasy,1h 31m,9.1, 68
236,The Woods Are Real,fantasy,1h 20m,2.3, 487
237,Spirit Riser,fantasy,1h 38m,6.2, 48
238,Nijari,fantasy,1h 46m,N/A,N/A
239,River of Ghosts,fantasy,1h 42m,2.8, 314
240,The Time Travel Hills,fantasy,1h 22m,5.1, 96
241,Letters at Christmas,fantasy,1h 24m,3.3, 250
242,The Ballad of Hortensia,fantasy,1h 34m,6.2, 162
243,Suffocating Love,fantasy,1h 42m,6.0, 342
244,Hanami,fantasy,1h 36m,6.7, 189
245,Carol,fantasy,1h 55m,7.9, 74
246,The Vord,fantasy,1h 41m,3.3, 82
247,The Rainmaker,fantasy,N/A,N/A,N/A
248,Levizia,fantasy,N/A,3.5, 22
249,Ebenezer: The Traveler,fantasy,1h 42m,3.3, 167
250,Fights Break Sphere 3,fantasy,1h 21m,5.1, 13
251,Mephisto,fantasy,1h 48m,5.2, 68
252,Letuchiy korabl,fantasy,1h 40m,3.3, 473
253,Bloodspawn,fantasy,1h 16m,4.7, 35
254,Hold Me Close,fantasy,1h 38m,4.7, 91
255,Kajolrekha,fantasy,2h 36m,6.3, 209
256,My Redneck Neighbor: Chapter 2 - Let the Games Begin,fantasy,55m,4.6, 18
257,Apollon by Day Athena by Night,fantasy,1h 52m,7.4, 456
258,All In,fantasy,1h 43m,5.7, 95
259,Ivan Tsarevich i Seryy Volk 6,fantasy,1h 25m,5.4, 141
260,Il ladro di stelle cadenti,fantasy,N/A,8.7, 37
261,Code Duello: From the Tithebanner Saga,fantasy,1h 1m,8.8, 343
262,Monkey King Fight Lion Camel,fantasy,1h 14m,4.0, 7
263,The Sisters,fantasy,2h 2m,4.7, 180
264,Zak & Wowo: The Legend of Lendarys,fantasy,1h 25m,5.0, 119
265,Dead Dead Demon's Dededede Destruction,fantasy,2h,7.1, 159
266,Maya Puthagam,fantasy,2h 2m,4.5, 443
267,Turma da Mônica Jovem: Reflexos do Medo,fantasy,1h 28m,2.8, 273
268,Penguin Girl,fantasy,1h 38m,6.0, 33
269,Double Tuckerr,fantasy,2h,5.2, 1.7K
270,Wanderer,fantasy,46m,6.2, 13
271,Case Files,fantasy,N/A,5.6, 16
272,Bloodsuckers and the Grimoire,fantasy,1h 16m,6.9, 33
273,Iron Nest of the Moon,fantasy,1h 10m,7.3, 14
274,Fuuto PI: Portrait of Kamen Rider Skull,fantasy,1h 22m,7.2, 87
275,Wondla,fantasy,N/A,N/A,N/A
276,Traces of Love,fantasy,1h 45m,6.5, 999
277,Inazuma Eleven Movie: The Legendary Kickoff,fantasy,N/A,6.9, 32
278,Dinonauts,fantasy,1h 17m,6.3, 14
279,Fasel men el-Lahazat el-Ladhidhah,fantasy,2h 2m,6.4, 1.3K
280,Askepote,fantasy,1h 12m,3.5, 104
281,Samaya bolshaya luna,fantasy,1h 45m,2.3, 158
282,Don Dukun,fantasy,1h 38m,6.8, 71
283,Cariddi's Graveyard: Tales of Mare Nostrum,fantasy,45m,N/A,N/A
284,Tri bogatyrya. Ni dnya bez podviga,fantasy,1h 1m,5.0, 128
285,Naag Bhoomi,fantasy,2h 10m,5.6, 12
286,Bye Bye Kitty,fantasy,N/A,5.1, 11
287,The Hyperboreans,fantasy,1h 11m,6.4, 161
288,Cedric & Alysia,fantasy,1h 24m,5.3, 60
289,The Eye of the Salamander,fantasy,1h 21m,5.7, 52
290,Snake Skin Beauty,fantasy,1h 23m,4.1, 23
291,Baba Yaga spasaet Novyy god,fantasy,1h 39m,4.5, 192
292,Blue Fiddle,fantasy,1h 26m,8.4, 18
293,"Ado SPECIAL LIVE ""Shinzou"" in Cinema",fantasy,2h 20m,9.2, 71
294,The Evil Fairy Queen,fantasy,1h 30m,5.7, 60
295,Sunce nikad vise,fantasy,1h 12m,6.8, 54
296,Captain Avispa,fantasy,1h 36m,5.7, 192
297,Regina,fantasy,1h 15m,N/A,N/A
298,Xin Longmen kezhan,fantasy,1h 13m,3.1, 8
299,The Secret of Pin-Up Island,fantasy,1h 47m,7.1, 104
300,Young Love,fantasy,N/A,7.4, 15
301,10/31 Part 4,fantasy,1h 27m,5.1, 40
302,PinkCity: A Psychedelic Meditation,fantasy,1h 35m,N/A,N/A
303,The Silmarillion: Oath of Feanor,fantasy,1h 43m,N/A,N/A
304,Inazuma Eleven the Movie: Prologue to the New Heroes,fantasy,N/A,6.5, 12
305,The Worlds Divide,fantasy,2h,7.9, 60
306,Wonderland,fantasy,2h,6.8, 14
307,The Seductress from Hell,fantasy,1h 42m,5.9, 30
308,Bhairadevi,fantasy,2h 14m,8.6, 69
309,Gato Galactico e o Feitiço do Tempo,fantasy,1h 25m,7.6, 74
310,"Fallen Leaves, Broken Lighters",fantasy,1h 36m,8.0, 8
311,The Enchanted Tinderbox,fantasy,1h 45m,5.5, 310
312,The Alpha Kings Wolfless Luna,fantasy,N/A,7.3, 14
313,Salomé,fantasy,1h 55m,6.2, 20
314,Altered,fantasy,N/A,N/A,N/A
315,Fragments of Us,fantasy,49m,6.0, 19
316,The Umbrella Fairy,fantasy,1h 35m,5.9, 73
317,Sahmeran Efsanesi-Tulhan,fantasy,16+,6.0, 34
318,Deadlands - A Fly Story,fantasy,N/A,N/A,N/A
319,Nature Cat's Nature Movie Special Extraordinaire,fantasy,53m,7.3, 25
320,Don't You Let Me Go,fantasy,1h 11m,6.6, 72
321,Taisu Xilie,fantasy,1h 37m,4.7, 10
322,Ghif,fantasy,1h 34m,2.6, 323
323,Anime galleggianti,fantasy,N/A,N/A,N/A
324,Spin the Wheel,fantasy,1h 42m,5.9, 94
325,Libélula,fantasy,1h 30m,N/A,N/A
326,Dream 1,fantasy,N/A,N/A,N/A
327,Woof Woof Daddy,fantasy,1h 45m,6.1, 50
328,Achilles Curse and the Curse of Treasure,fantasy,2h 5m,7.2, 31
329,Tokusou Sentai Dekaranger 20th: Fireball Booster,fantasy,50m,7.3, 46
330,Na Zha: Mo tong gui lai,fantasy,1h 19m,4.4, 7
331,The Hallowed Knight,fantasy,1h 31m,6.1, 29
332,Couple in the Woods,fantasy,1h 5m,5.6, 35
333,Nueva Tierra,fantasy,2h 3m,7.7, 37
334,Si Juki the Movie: Harta Pulau Monyet,fantasy,1h 47m,6.3, 157
335,Ienai Himitsu,fantasy,1h 55m,6.2, 104
336,The Legend of Meng Po,fantasy,1h 16m,N/A,N/A
337,Wedding Diaries,fantasy,2h 1m,8.9, 2.1K
338,Aalan,fantasy,2h 17m,5.4, 1.1K
339,The Ghost of Annie Lee,fantasy,1h 43m,4.8, 7
340,Jíkuri,fantasy,N/A,7.7, 23
341,Sith Wars: Episódio III - Fantasmas Dos Sith,fantasy,1h 39m,8.3, 257
342,Vampire Genesis,fantasy,1h 45m,4.0, 45
343,The Journey of Flower,fantasy,1h 37m,4.0, 31
344,The Job Whisperer,fantasy,1h 33m,4.7, 85
345,Darker Than Night,fantasy,1h 22m,5.0, 25
346,White Cobra Diamond Fox vs the Golden Eye,fantasy,1h 30m,4.7, 35
347,The House Ghost,fantasy,1h 42m,4.2, 310
348,Devka-baba: Kukla-charodeyka,fantasy,1h 33m,4.7, 23
349,Reptilians: Serpent Kings and Ancient Rulers,fantasy,3h 14m,N/A,N/A
350,Yao Shen Ling,fantasy,1h 33m,6.6, 75
351,Franta mimozemstan,fantasy,1h 38m,4.6, 95
352,Supersiostry,fantasy,1h 30m,4.0, 158
353,The Heartsmith,fantasy,1h 35m,9.0, 51
354,Japa,fantasy,1h 50m,7.9, 16
355,Sun and Moon,fantasy,2h 43m,5.0, 6
356,The Ride to Heaven,fantasy,N/A,N/A,N/A
357,Dance with the Finless Promise,fantasy,N/A,6.5, 24
358,Written in Blood,fantasy,N/A,7.9, 14
359,Wayward Sisters,fantasy,N/A,N/A,N/A
360,Vasilisa i khraniteli vremeni,fantasy,1h 38m,3.0, 95
361,Le discours des songes,fantasy,1h 10m,N/A,N/A
362,Estación Wadley,fantasy,1h 36m,N/A,N/A
363,Lovebugs,fantasy,1h,N/A,N/A
364,STEVE (A Minecraft Movie),fantasy,1h 1m,7.8, 19
365,Blue Christmas,fantasy,1h 19m,5.9, 25
366,Soul Traveler,fantasy,1h 37m,4.0, 27
367,Wonderful Precure! The Movie! Doki Doki Game no Sekai de Daiboken,fantasy,1h 11m,6.6, 47
368,Witches of God,fantasy,1h 13m,7.2, 22
369,Demon Host,fantasy,1h 20m,6.4, 22
370,Cryptides,fantasy,1h 10m,N/A,N/A
371,Sleep Cinema,fantasy,N/A,N/A,N/A
372,The Brothers Grimm: American Folktales,fantasy,N/A,6.3, 10
373,Let the Moon Be My Moon,fantasy,1h 15m,N/A,N/A
374,The Brothers Grimm: American Folktales Part 2,fantasy,N/A,N/A,N/A
375,Avaidh 2,fantasy,N/A,8.4, 5
376,Les Écorchés - Partie 1,fantasy,1h 50m,N/A,N/A
377,Alucina (Fishgirl),fantasy,1h 40m,7.3, 21
378,Black Dragon,fantasy,1h 39m,4.0, 9
379,Casa de Novia,fantasy,1h 50m,N/A,N/A
380,IZLIYORLAR,fantasy,1h 53m,7.5, 39
381,Dracu Ra,fantasy,1h 46m,5.8, 52
382,Qianhe xiansheng,fantasy,1h 22m,4.9, 7
383,Knight,fantasy,N/A,N/A,N/A
384,Corpórea,fantasy,N/A,6.2, 11
385,Megalodon Returns,fantasy,N/A,3.7, 13
386,Confessions of Darkness,fantasy,N/A,7.2, 13
387,Pizza House,fantasy,N/A,N/A,N/A
388,Grown,fantasy,1h 16m,N/A,N/A
389,Swamiji Club,fantasy,N/A,N/A,N/A
390,Cloud Chamber,fantasy,1h 54m,N/A,N/A
391,Carjorski Clan: Tale of the Fallen Knight,fantasy,N/A,N/A,N/A
392,Princezna na hrásku,fantasy,1h 20m,5.5, 71
393,The Bigfoot Prophecy,fantasy,1h 57m,3.7, 38
394,The Land of Women,fantasy,1h 26m,9.5, 140
395,Sharma & Ambani,fantasy,1h 44m,9.1, 185
396,Horse with No Name,fantasy,1h 12m,7.9, 17
397,Zombie Jesus Vampire Hunter,fantasy,54m,N/A,N/A
398,The Killer Goldfish,fantasy,1h 34m,6.0, 13
399,Lyrical Protege: Corp World VS Artist World Vol 1,fantasy,1h 3m,N/A,N/A
400,NJPW SMP: The Movie,fantasy,50m,N/A,N/A
401,RB&O Live: Alice's Adventures in Wonderland,fantasy,3h 25m,N/A,N/A
402,The Old Man and the Demon Sword,fantasy,1h 3m,7.4, 47
403,Rainbow World: The Movie,fantasy,1h 32m,6.0, 19
404,Anxious.,fantasy,1h 38m,N/A,N/A
405,Markus Bixby,fantasy,1h 5m,N/A,N/A
406,Asher and Ruth,fantasy,1h 3m,N/A,N/A
407,Make My Dreams Come True,fantasy,N/A,N/A,N/A
408,Dragon Gate Inn,fantasy,1h 30m,N/A,N/A
409,Velký Pán,fantasy,1h 13m,6.8, 11
410,Mortadella,fantasy,1h 30m,N/A,N/A
411,Midnight at the Limbo Lounge,fantasy,N/A,N/A,N/A
412,Buster,fantasy,N/A,N/A,N/A
413,The Seed,fantasy,1h 40m,N/A,N/A
414,Santa's Chimney of Secrets,fantasy,1h 6m,4.1, 31
415,Un trago de infierno,fantasy,1h 30m,6.4, 9
416,Los ojos de Europa,fantasy,1h 48m,4.5, 14
417,Exile: Director's Cut,fantasy,1h 30m,N/A,N/A
418,UnichtoZhanna,fantasy,1h 38m,3.5, 56
419,Loch Ness Monster Captured,fantasy,45m,3.6, 38
420,Self Harm,fantasy,1h 6m,N/A,N/A
421,Lost Dolls,fantasy,1h 50m,N/A,N/A
422,Antappante Athbudha Pravarthikal (Miracles of Antappan),fantasy,N/A,N/A,N/A
423,King Tara,fantasy,1h 47m,8.7, 14
424,Nebesko,fantasy,1h 13m,5.1, 13
425,Chyortov kamen,fantasy,1h 45m,3.8, 26
426,The Blinkless,fantasy,59m,6.9, 21
427,Heart Brakers,fantasy,N/A,8.4, 9
428,Gemeos of Yojohan,fantasy,1h 44m,N/A,N/A
429,Amigo,fantasy,N/A,N/A,N/A
430,Sny otelya Moskva,fantasy,N/A,N/A,N/A
431,My genie: secret wishes,fantasy,1h 30m,N/A,N/A
432,Napoleon Street,fantasy,1h 50m,N/A,N/A
433,Treasure Fellowship,fantasy,1h 26m,N/A,N/A
434,Tara - The Lost Star,fantasy,1h 30m,8.8, 12
435,Bob's Hops,fantasy,1h 30m,7.5, 7
436,Let's Go! Anpanman: Baikinman and Lulun,fantasy,1h 4m,5.9, 10
437,La Lengua Desnuda,fantasy,N/A,3.8, 10
438,The Hay Man,fantasy,1h 14m,N/A,N/A
439,Mr. Squids,fantasy,1h 6m,N/A,N/A
440,The Last Night in the Life of Death,fantasy,N/A,8.2, 7
441,A Lenda dos Quatro,fantasy,N/A,N/A,N/A
442,Touken Ranbu Kai: Douden Chikashi Haberau Monora,fantasy,1h 9m,N/A,N/A
